21;;Corrado;Berselli;TIL  srl;NULL;;NULL;noleggiobus@til.it;0522 927813;;;;NULL;reggio emilia;NULL;NULL;;;;17/02/2023 17:28;17/02/2023 17:28;NULL
22;;italotreno;NULL;italotreno;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;18/02/2023 08:23;18/02/2023 08:23;NULL
23;;trenoitalo;NULL;Italo spa;9247981005;;NULL;giulia.cipriani@ntvspa.it;NULL;;;;NULL;Roma;NULL;NULL;;;;18/02/2023 08:25;18/02/2023 08:25;NULL
24;;napoleon viaggi srl;NULL;Napoleon viaggi srl;1736010495;;via g. Cacciò, 11;gruppi@napoleonviaggi.it;0565 917888;;;;NULL;Portoferraio;NULL;NULL;;;;24/02/2023 10:23;24/02/2023 10:23;NULL
25;;hotel Adria 4*;NULL;Adria Hotel 4****;387700396;;Viale 2 Giugno angolo XIII Traversa, 19;info@hoteladriaonline.it;0544 994665;;;;italia;milano marittima;48015;milano;;;;27/02/2023 09:53;27/02/2023 09:53;NULL
26;;Armando;Saetta;commerciale Baia Domizia;NULL;;NULL;commercialehotelsaetta@gmail.com;3512488434;;;;NULL;NULL;NULL;NULL;;;;02/03/2023 14:19;02/03/2023 14:19;NULL
27;;caravantours spa;NULL;Caravantours spa;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;07/03/2023 17:02;07/03/2023 17:02;NULL
28;;Stefano;NULL;sos Travel;14203921003;;via ranieri, 36;info@sostravel.it;06 99336268;;;;NULL;Roma;NULL;rm;;;;11/03/2023 09:32;11/03/2023 09:32;NULL
29;;VERATOUR SPA;NULL;VERATOUR SPA;374925100;;viale Eroi di Rodi 254 ROMA;NULL;06500661 BOOKING;;;;NULL;ROMA;NULL;NULL;;;;30/03/2023 13:49;30/03/2023 13:50;NULL
30;;Lago di Como;NULL;Lago di Como;NULL;;NULL;info@montagnelagodicomo.it;0341 802040;;;;NULL;NULL;NULL;NULL;;;;14/04/2023 10:59;14/04/2023 10:59;NULL
31;;Albergo Alpino;NULL;Albergo Alpino;NULL;;Via Italia, 50, 23831 Casargo LC;NULL;NULL;;;;NULL;CASARGO;NULL;LECCO;;;;14/04/2023 16:39;14/04/2023 16:40;NULL
32;;ANEK ITALIA;NULL;ANEK ITALIA;NULL;;PIAZZA DELLA REPUBBLICA 1;booking@anekitalia.com;712072346;;;;ITALIA;ANCONA;60121;ANCONA;;;;18/05/2023 09:14;18/05/2023 09:14;NULL
33;;Graffitipark hotel;NULL;Graffitipark hotel;NULL;;NULL;NULL;NULL;;;;NULL;Capo di Ponte;NULL;NULL;;;;19/06/2023 09:34;19/06/2023 09:34;NULL
34;;HOTEL MIAGE;NULL;HOTEL MIAGE;NULL;;loc. Frazione Pont Suaz, 252;hm@hotelmiage.it;+39 0165 238585;;;;Italia;Charvensod;11020;AO;;;;11/09/2023 12:41;11/09/2023 12:41;NULL
35;;ITALIA;6;SAN MARINO EVENTS;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;25/10/2023 17:10;25/10/2023 17:10;NULL
36;;SAS;NULL;Scandinavian airlines;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;30/10/2023 06:46;30/10/2023 06:46;NULL
37;;Air Malta;NULL;air Malta;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;30/10/2023 06:46;30/10/2023 06:46;NULL
38;;Chiappetta bus;NULL;autonoleggio Chiappetta bus;NULL;;NULL;NULL;NULL;;;;NULL;cosenza;NULL;NULL;;;;02/12/2023 10:53;02/12/2023 10:53;NULL
39;;FRIGO ASSICURAZIONI;NULL;FRIGO ASSICURAZIONI;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;23/12/2023 07:27;23/12/2023 07:28;NULL
40;;autoservizi ricci;NULL;autoservizi ricci bus;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;08/01/2024 14:45;08/01/2024 14:45;NULL
41;;AUTONOLEGGIO;BTService Srl;Business Tourism Service S.r.l. Unipersonale di Mauro Armani;2438750222;;Corso Trento 1;info@btservice.it;+39 3400711020;;;;ITALIA;Pinzolo;38086;TRENTO;;;;17/03/2024 10:45;17/03/2024 10:45;NULL
42;;AUTONOLEGGI;CORNACCHINI;AUTONOLEGGI CORNACCHINI SRL;340320381;;Via M. Finzi 589;info@cornacchini.it;059 392928;;;;ITALIA;MODENA;41124;Modena;;;;18/03/2024 18:46;18/03/2024 18:46;NULL
43;;CASE ALPINE;GINO PISTONI;Coompany 2 Società Cooperativa Sociale;1053570071;;Via Ondre, 22;ginopistoni@casealpine.it;3443451473;;;;ITALIA;Gressoney-Saint-Jean;11025;AOSTA;;;;18/03/2024 18:59;18/03/2024 18:59;NULL
44;;Hotel City Central;NULL;aureli hotels;NULL;;Revoluční 1081;NULL;NULL;;;;Republica Ceca;Praga;NULL;NULL;;;;26/04/2024 13:27;26/04/2024 13:27;NULL
45;;Hotel MERCURE PARIS GARE DE LYON OPÉRA BASTILLE;ACCORD HOTEL;ACCORD HOTELS;NULL;;3 Rue Parrot, 75012 Parigi,;NULL;NULL;;;;FRANCIA;PARIGI;75012;NULL;;;;30/04/2024 12:20;30/04/2024 20:18;NULL
46;;Holiday Inn Paris - Gare de Lyon Bastille, an;IHG Hotel;IHG Hotel;NULL;;11 Rue de Lyon,;NULL;NULL;;;;FRANCIA;Paris;75012;Ile de France;;;;30/04/2024 20:22;30/04/2024 20:22;NULL
47;;NULL;NULL;HOSTEL TOC BARCELONA;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;21/05/2024 14:55;21/05/2024 14:55;NULL
48;;UAPPALA;NULL;VERDI;NULL;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;09/09/2024 09:29;09/09/2024 09:30;09/09/2024 09:30
49;;NULL;NULL;CHIESA VIAGGI srl;4133920019;;Via Valfrè, 35;booking@chiesaviaggi.it;011/9720379;;;;ITALIA;CARMAGNOLA;10022;TORINO;;;;25/09/2024 20:46;25/09/2024 20:46;NULL
50;;AUTOLINEE ALLASIA S.r.l.;ALLASIA GROUP TRAVEL PEOPLE;AUTOLINEE ALLASIA S.R.L.;722590049;;Via Mutuo Soccorso n. 13;noleggio@allasiagroup.it;0172 33228;;;;ITALIA;SAVIGLIANO;12038;CUNEO;;;;23/10/2024 10:33;23/10/2024 10:33;NULL
51;;HOTEL;GRISELDA;HOTEL GRISELDA;3412180048;;Corso XXVII aprile, 13;info@hotelgriselda.it;17547484;;;;ITALIA;SALUZZO;12037;CN;;;;03/11/2024 01:15;03/11/2024 01:16;03/11/2024 01:16
52;;DAVIDE;COCCHIO;ADIGE RAFTING;4087270239;;via Perloso, 14/a;info@adigerafting.it;+ 39 347 8892498;;;;Italia;CHIEVO;12038;VERONA;;;;21/11/2024 15:04;21/11/2024 15:04;NULL
53;;IOANA;MATIS;SAN MATTEO CHURCH RISTORANTE PIZZERIA;3457590234;;Vicolo San Matteo 4;smatteochurch@gmail.com;+39 045 800 45 38;;;;Italia;VERONA;37121;VERONA;;;;21/11/2024 15:09;21/11/2024 15:09;NULL
54;;CORINNA;ALLASIA GROUP TRAVEL PEOPLE;IL BOSCHETTO RISTORANTE;NULL;;Lung'Adige Galtarossa, 40;ilboschetto@yahoo.it;3319268916;;;;Italia;VERONA;37133;VERONA;;;;21/11/2024 15:10;21/11/2024 15:18;NULL
55;;NULL;NULL;KONA HOTEL VERONA;4598580233;;Via G.b. Pighi 1/2;info@konahotelverona.com;+39 045 750 1333;;;;Italia;Negrar;37024;VERONA;;;;21/11/2024 15:22;21/11/2024 15:22;NULL
56;;ESCURSIONI GUIDATE;NULL;ASIAGO GUIDE;3739360240;;Piazzale degli Eroi, 1;info@asiagoguide.com;347 183 6825;;;;ITALIA;Asiago;36012;VI;;;;06/02/2025 16:23;06/02/2025 16:23;NULL
57;;Erwin;Domanegg;DOMANEGG GmbH;1231430214;;Pittertschol 15/A;info@domanegg.it;+39 0471 350 111;;;;Italia;San Genesio;39050;BZ;;;;06/04/2025 20:33;06/04/2025 20:33;NULL
58;;NULL;NULL;Stow Your Bags;IT13568431004;;NULL;NULL;NULL;;;;NULL;NULL;NULL;NULL;;;;14/04/2025 22:01;14/04/2025 22:01;NULL
